,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
1,1,10.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
2,2,20.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
3,3,30.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
4,4,40.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
5,5,50.0,right,183_0,0,left,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
6,6,60.0,right,183_0,0,left,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,No
7,7,70.0,right,183_0,0,left,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,No
8,8,80.0,right,183_0,0,left,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,No
9,9,90.0,right,183_0,0,left,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,No
10,10,100.0,right,183_0,0,left,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,No
11,11,110.0,right,183_0,0,left,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,No
12,12,120.0,right,183_0,1,left,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,No
13,13,130.0,right,183_0,1,left,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,No
14,14,140.0,right,183_0,1,left,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,No
15,15,150.0,right,183_0,1,left,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,No
16,16,160.0,right,183_0,1,left,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,No
17,17,170.0,right,183_0,1,left,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,No
18,18,180.0,right,183_0,1,left,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,No
19,19,190.0,right,183_0,1,left,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,No
20,20,200.0,right,183_0,1,left,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,No
21,21,210.0,right,183_0,1,left,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,No
22,22,220.0,right,183_0,1,left,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,No
23,23,230.0,right,183_0,1,left,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,No
24,24,240.0,right,183_0,1,left,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,No
25,25,250.0,right,183_0,1,left,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,No
26,26,260.0,right,183_0,1,left,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,No
